公开(公告)号,标题,申请日,公开(公告)日,当前申请(专利权)人,发明人,法律状态/事件
CN114252387A,一种考虑高原强辐射影响的混凝土试验装置及试验方法,2021-07-12,2022-03-29,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司 | 北京铁锋建筑工程技术有限公司,葛昕 | 谭盐宾 | 杨鲁 | 李林香 | 谢永江 | 郑永杰 | 付志勇 | 王琳 | 齐婧 | 袁政成,实质审查
CN110502772A,斜坡冻土区装配式自通风路基结构及设计方法,2019-05-09,2019-11-26,中铁二院工程集团有限责任公司,杨泉 | 蒋尧 | 徐骏 | 高柏松 | 郭海强 | 王占盛 | 李炼 | 罗一农,实质审查
CN110119902A,一种公益性铁路综合评价指标体系的确定方法,2019-05-17,2019-08-13,中铁二院工程集团有限责任公司,朱颖 | 罗圆 | 张小强 | 马擎 | 李广路 | 余浩伟,驳回
CN210422672U,一种纵深隧道富氧气体循环系统,2019-07-16,2020-04-28,杭州创威实业股份有限公司,楼百根 | 孙莉 | 钱晶 | 斯航军,授权 | 一案双申
CN107832580A,基于度日模型的冰水泥石流清水流量计算方法,2017-11-13,2018-03-23,中国科学院、水利部成都山地灾害与环境研究所,潘华利 | 欧国强 | 邓明枫 | 郑志山,实质审查
CN111236973A,一种用于板块活动带隧道的韧性结构,2020-01-13,2020-06-05,西南交通大学 | 陕西祐通材料有限公司,严健 | 何川 | 董唯杰 | 汪波 | 徐国文,授权 | 权利转移
CN111236973B,一种用于板块活动带隧道的韧性结构,2020-01-13,2020-11-20,西南交通大学 | 陕西祐通材料有限公司,严健 | 何川 | 董唯杰 | 汪波 | 徐国文,授权 | 权利转移
CN214584793U,一种用于混凝土耐久性测试的多因素耦合环境模拟装置,2021-03-18,2021-11-02,中建西部建设西南有限公司 | 中建西部建设股份有限公司,袁文韬 | 王军 | 张远,授权
CN211815242U,一种公铁两用拼装式轨道结构,2020-03-16,2020-10-30,中铁二院工程集团有限责任公司,刘喆丰 | 田春香 | 李粮余 | 熊维 | 杨明辉 | 葛根荣 | 莫宏愿 | 张志强,授权
CN216411950U,一种高速列车过不同地温分布的隧道动模型试验系统,2022-03-17,2022-04-29,中南大学,秦子兴 | 王军彦 | 郭子健 | 王凯文 | 胡冲,授权
CN112322973A,潮湿环境耐腐蚀性钢轨及其生产方法,2020-10-19,2021-02-05,攀钢集团攀枝花钢铁研究院有限公司,袁俊 | 邹明 | 陈崇木 | 邓勇,实质审查
CN112596076A,一种灾害监测型GNSS接收机及其监测方法,2020-12-14,2021-04-02,长安大学,黄观文 | 白正伟 | 张勤 | 杜源 | 王铎 | 景策 | 陈孜,授权
CN112596076B,一种灾害监测型GNSS接收机及其监测方法,2020-12-14,2021-11-16,长安大学,黄观文 | 白正伟 | 张勤 | 杜源 | 王铎 | 景策 | 陈孜,授权
CN111307394A,一种多级动力可控回流式风洞,2020-03-09,2020-06-19,西南交通大学,张血琴 | 张广全 | 郭裕钧 | 吴广宁 | 高国强 | 刘凯 | 李春茂,授权
